3commas,Global,account_id
Binance,binance,1
BinanceFutures,binance_futures,2
BinanceFuturesCoin,binance_futures,2
BinanceMargin,binance,1
BinanceTr,binance_dex_mini,3
BinanceUs,binance_us,4
Bitfinex,bitfinex,5
BitgetUsdtFutures,bitget_futures,6
Bitstamp,bitstamp,7
Bybit,bybit,8
BybitSpot,bybit_spot,9
BybitUsdtPerpetual,bybit,8
CoinbaseAdvanced,gdax,10
CryptoCom,degate,11
GateIo,gate,12
GateIoBtcPerpetual,gate_futures,13
GateIoUsdtPerpetual,gate_futures,13
Gdax,gdax,10
Gemini,gemini,14
Gemini,gemini_derivatives,14
Huobi,huobi,15
Huobi,huobi_dm,15
Kraken,kraken,16
Kucoin,kucoin,17
Okex,okex,18
OkexFutures,okex_swap,19